Month,.NET,Agile,Android,Ansible,Arcsight,Automation Anywhere,AWS,AZURE,Bash,BGP,Black Duck,Blue Prism,Burp Suite,c++,Cellebrite,CI/CD,Circle CI,CLI,CloudFormation,COBIT,Critical Path,CrowdStrike,CVE,CVSS,Cyber Essentials,CyberArk,Darktrace,DAST,DHCP,Diamond Model,DNS,Docker,ELK,EnCase,Firewall,Fortinet,FTK,GCP,GitHub,GitLab,GoCD,Golang,HashiCorp Vault,Hudson,HyperV,IAM,IAST,IBM Cloud,IDA Pro,IDS,iOS,IPS,ISO 27001,ISO 27002,Java,Jenkins,JML,Kanban,Kerberos,Kill Chain,Kubernetes,LDAP,Lean Methodology,Linux,Load Balancing,LogRhythm,Lucene,macOS,Metasploit,MFA,Microservices,Mitre Attack,MPLS,Nessus,Netskope,Nexpose,NGFW,NIST,NMAP,OCTAVE,OllyDbg,OpenStack,ORACLE Cloud,OSSTMM,OWASP,PAM,PCI-DSS,Pega,Perl,PHP,PIM,Ping,Powershell,Prince2,PTES,Puppet,Python,QRadar,Qualys,RegEx,Routing,RPA,Ruby,Rust,SailPoint,Saltstack,SAMM,SAST,SCALA,SCRUM,SDK,SIEM,SMTP,SNMP,SonarCube,Spinnaker,Splunk,SQL,SSH,Syslog,Tableau,Tanium,TCP/IP,TeamCity,Tenable,Terraform,TLS,Traceroute,Travis CI,UDP,Ui Path,VMWare,VPC,WAF,WinDBG,Windows,Wireshark,X-Ways,YARA,ZAP
Jan,16616.0,48004.0,3075.0,3275.0,30.0,0.0,17275.0,14040.0,2207.0,416.0,14.0,0.0,37.0,0.0,0.0,7171.0,110.0,333.0,923.0,274.0,3455.0,130.0,45.0,10.0,2181.0,74.0,28.0,92.0,1118.0,81.0,2067.0,7543.0,475.0,23.0,3135.0,318.0,18.0,4476.0,2693.0,1190.0,136.0,1191.0,160.0,324.0,106.0,784.0,17.0,746.0,36.0,530.0,2852.0,897.0,847.0,23.0,12678.0,5000.0,50.0,2497.0,94.0,67.0,7007.0,292.0,1981.0,11090.0,1443.0,42.0,42.0,481.0,27.0,183.0,4987.0,60.0,369.0,79.0,13.0,19.0,31.0,685.0,34.0,36.0,4.0,400.0,2102.0,5.0,435.0,230.0,500.0,0.0,1082.0,3909.0,189.0,606.0,2669.0,1812.0,10.0,1683.0,18743.0,57.0,79.0,54.0,2823.0,0.0,2312.0,474.0,65.0,130.0,15.0,108.0,1639.0,8185.0,498.0,716.0,155.0,160.0,14.0,123.0,846.0,21924.0,174.0,64.0,3619.0,21.0,1798.0,878.0,78.0,4788.0,392.0,21.0,108.0,259.0,0.0,2883.0,312.0,161.0,6.0,18005.0,215.0,0.0,25.0,24.0
Feb,19375.0,54180.0,3222.0,3455.0,27.0,0.0,19698.0,16377.0,2425.0,434.0,7.0,0.0,40.0,0.0,29.0,7914.0,121.0,418.0,1016.0,301.0,4071.0,172.0,42.0,7.0,2472.0,87.0,27.0,113.0,1288.0,96.0,2393.0,8236.0,475.0,27.0,3540.0,340.0,34.0,5112.0,3047.0,1343.0,127.0,1316.0,145.0,392.0,121.0,932.0,29.0,879.0,3.0,660.0,2954.0,1155.0,929.0,23.0,14191.0,5299.0,46.0,2878.0,126.0,102.0,7724.0,377.0,2216.0,12061.0,1475.0,72.0,54.0,541.0,36.0,241.0,5635.0,138.0,414.0,115.0,9.0,25.0,49.0,808.0,30.0,34.0,7.0,394.0,2455.0,4.0,496.0,338.0,558.0,0.0,1290.0,4362.0,228.0,645.0,3064.0,2059.0,12.0,1700.0,21005.0,67.0,87.0,70.0,3200.0,0.0,2526.0,587.0,79.0,140.0,15.0,131.0,1871.0,9315.0,520.0,891.0,174.0,202.0,14.0,103.0,977.0,25146.0,199.0,77.0,4153.0,25.0,2052.0,937.0,103.0,5206.0,409.0,17.0,96.0,278.0,0.0,2947.0,325.0,210.0,20.0,21267.0,211.0,0.0,20.0,27.0
Mar,19365.0,54143.0,3382.0,3395.0,29.0,98.0,19983.0,16632.0,2443.0,415.0,9.0,198.0,43.0,7340.0,20.0,7906.0,128.0,401.0,1042.0,285.0,3998.0,180.0,41.0,10.0,2476.0,96.0,26.0,101.0,1252.0,78.0,2328.0,8303.0,475.0,33.0,3463.0,325.0,27.0,5073.0,3098.0,1285.0,112.0,1239.0,148.0,380.0,111.0,970.0,33.0,891.0,35.0,658.0,3094.0,1108.0,923.0,29.0,14065.0,5326.0,55.0,2778.0,110.0,73.0,7692.0,380.0,2263.0,12316.0,1462.0,75.0,57.0,521.0,38.0,221.0,5569.0,74.0,399.0,110.0,14.0,21.0,36.0,839.0,28.0,37.0,3.0,390.0,2570.0,3.0,486.0,324.0,537.0,157.0,1268.0,4511.0,233.0,671.0,3054.0,1986.0,8.0,1710.0,21187.0,61.0,74.0,70.0,3164.0,0.0,2488.0,616.0,79.0,140.0,18.0,115.0,1784.0,9322.0,533.0,905.0,193.0,189.0,15.0,124.0,1007.0,25008.0,235.0,61.0,4233.0,34.0,1987.0,967.0,96.0,5131.0,430.0,15.0,99.0,313.0,296.0,2991.0,312.0,213.0,9.0,21292.0,227.0,0.0,24.0,34.0
Apr,20586.0,53206.0,3223.0,3220.0,28.0,109.0,19559.0,16939.0,2429.0,448.0,9.0,212.0,56.0,7607.0,21.0,7841.0,130.0,360.0,1022.0,281.0,4142.0,163.0,47.0,9.0,2569.0,116.0,39.0,117.0,1349.0,76.0,2440.0,8064.0,501.0,31.0,3725.0,312.0,28.0,5260.0,3305.0,1395.0,100.0,1269.0,142.0,319.0,98.0,915.0,29.0,887.0,25.0,686.0,2933.0,1188.0,942.0,42.0,13224.0,4798.0,50.0,2938.0,114.0,67.0,7451.0,406.0,2277.0,12455.0,1503.0,63.0,49.0,572.0,32.0,239.0,5459.0,67.0,448.0,101.0,14.0,27.0,33.0,904.0,34.0,40.0,3.0,380.0,2486.0,3.0,524.0,401.0,521.0,199.0,1231.0,4128.0,274.0,642.0,3036.0,2120.0,7.0,1729.0,21099.0,53.0,93.0,72.0,3332.0,0.0,2308.0,637.0,98.0,128.0,17.0,121.0,1770.0,9316.0,531.0,935.0,190.0,197.0,22.0,125.0,1043.0,25207.0,227.0,61.0,4198.0,21.0,2096.0,742.0,105.0,4913.0,450.0,12.0,91.0,317.0,307.0,3118.0,308.0,296.0,7.0,22099.0,239.0,0.0,16.0,43.0
May,20005.0,50851.0,3161.0,2912.0,38.0,97.0,18154.0,14303.0,2227.0,400.0,18.0,199.0,43.0,7874.0,19.0,7391.0,122.0,388.0,900.0,248.0,4289.0,185.0,38.0,14.0,2585.0,100.0,33.0,111.0,1416.0,92.0,2430.0,7525.0,557.0,30.0,3651.0,279.0,24.0,5037.0,2763.0,1258.0,74.0,1245.0,137.0,311.0,94.0,875.0,29.0,779.0,24.0,674.0,2847.0,1097.0,909.0,33.0,12460.0,4527.0,65.0,3052.0,100.0,85.0,6919.0,381.0,2210.0,11926.0,1616.0,62.0,52.0,515.0,31.0,221.0,5178.0,89.0,430.0,110.0,13.0,24.0,27.0,806.0,32.0,35.0,6.0,339.0,2440.0,1.0,497.0,360.0,634.0,166.0,1205.0,3679.0,266.0,612.0,2588.0,1947.0,6.0,1587.0,20455.0,46.0,104.0,60.0,3478.0,0.0,2166.0,575.0,89.0,118.0,9.0,114.0,1683.0,9279.0,508.0,964.0,174.0,215.0,23.0,124.0,1086.0,21093.0,191.0,69.0,4026.0,16.0,2048.0,622.0,115.0,4529.0,436.0,19.0,94.0,323.0,302.0,2860.0,321.0,237.0,14.0,24142.0,243.0,0.0,17.0,35.0
Jun,20928.0,49575.0,3091.0,2870.0,20.0,92.0,17245.0,14187.0,2103.0,405.0,7.0,93.0,30.0,7258.0,19.0,7120.0,95.0,397.0,849.0,271.0,1395.0,179.0,43.0,6.0,452.0,126.0,29.0,110.0,1365.0,0.0,2336.0,6773.0,507.0,30.0,1373.0,313.0,28.0,4724.0,2528.0,1192.0,73.0,1141.0,48.0,0.0,96.0,842.0,17.0,300.0,19.0,644.0,2704.0,1029.0,755.0,14.0,11397.0,4289.0,0.0,2708.0,122.0,9.0,6560.0,359.0,138.0,11615.0,537.0,47.0,0.0,489.0,24.0,231.0,3730.0,14.0,440.0,108.0,19.0,19.0,41.0,867.0,27.0,32.0,4.0,374.0,473.0,1.0,494.0,387.0,535.0,163.0,1193.0,3286.0,243.0,0.0,2544.0,1911.0,0.0,1505.0,19050.0,40.0,97.0,56.0,0.0,0.0,2059.0,535.0,84.0,108.0,9.0,116.0,1539.0,8127.0,0.0,909.0,165.0,210.0,19.0,101.0,959.0,20157.0,201.0,64.0,3766.0,22.0,2002.0,592.0,102.0,4344.0,452.0,16.0,42.0,296.0,176.0,2816.0,266.0,205.0,11.0,17560.0,223.0,19.0,19.0,25.0
Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
